title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,cluster
LA FAMA (with The Weeknd),The Weeknd,0.77,0.302,0.0,-7.9110000000000005,0.0,0.0466,0.946,3.3799999999999995e-05,0.125,0.821,136.01,spotify:track:6dmXZ9B5HdFAyzHeTneYBK,188103.0,4.0,92
THATS WHAT I WANT,Lil Nas X,0.737,0.846,1.0,-4.51,0.0,0.22,0.00614,0.0,0.0486,0.546,87.98100000000001,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,143901.0,4.0,19
GHOST TOWN,Benson Boone,0.391,0.335,0.0,-10.064,1.0,0.0763,0.389,0.0,0.102,0.11599999999999999,174.185,spotify:track:135Lf4Q0CzlMNfOxbEUsLH,193733.0,3.0,71
Bad Habits,Ed Sheeran,0.8079999999999999,0.897,11.0,-3.7119999999999997,0.0,0.0348,0.0469,3.14e-05,0.364,0.591,126.02600000000001,spotify:track:6PQ88X9TkUIAUIZJHW2upE,231041.0,4.0,44
MONEY,LISA,0.831,0.5539999999999999,1.0,-9.998,0.0,0.218,0.161,6.12e-05,0.152,0.396,140.026,spotify:track:7hU3IHwjX150XLoTVmjD0q,168228.0,4.0,83
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,0.8590000000000001,0.525,1.0,-8.051,0.0,0.0592,0.434,2.34e-05,0.10800000000000001,0.312,110.066,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,204764.0,4.0,48
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Kali Uchis,0.8590000000000001,0.525,1.0,-8.051,0.0,0.0592,0.434,2.34e-05,0.10800000000000001,0.312,110.066,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,204764.0,4.0,48
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Moliy,0.8590000000000001,0.525,1.0,-8.051,0.0,0.0592,0.434,2.34e-05,0.10800000000000001,0.312,110.066,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,204764.0,4.0,48
Moth To A Flame (with The Weeknd),Swedish House Mafia,0.542,0.659,8.0,-7.289,1.0,0.0389,0.00279,0.0,0.105,0.109,120.12200000000001,spotify:track:2gpWyfu7eZ01zzncHpxOtA,234000.0,4.0,77
Moth To A Flame (with The Weeknd),The Weeknd,0.542,0.659,8.0,-7.289,1.0,0.0389,0.00279,0.0,0.105,0.109,120.12200000000001,spotify:track:2gpWyfu7eZ01zzncHpxOtA,234000.0,4.0,77
Where Are You Now,Lost Frequencies,0.6709999999999999,0.636,6.0,-8.117,0.0,0.10300000000000001,0.515,0.000411,0.172,0.262,120.96600000000001,spotify:track:3uUuGVFu1V7jTQL60S1r8z,148197.0,4.0,17
Where Are You Now,Calum Scott,0.6709999999999999,0.636,6.0,-8.117,0.0,0.10300000000000001,0.515,0.000411,0.172,0.262,120.96600000000001,spotify:track:3uUuGVFu1V7jTQL60S1r8z,148197.0,4.0,17
My Universe,Coldplay,0.588,0.701,9.0,-6.39,1.0,0.0402,0.00813,0.0,0.2,0.44299999999999995,104.988,spotify:track:3FeVmId7tL5YN8B7R3imoM,228000.0,4.0,52
My Universe,BTS,0.588,0.701,9.0,-6.39,1.0,0.0402,0.00813,0.0,0.2,0.44299999999999995,104.988,spotify:track:3FeVmId7tL5YN8B7R3imoM,228000.0,4.0,52
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.7829999999999999,11.0,-4.4239999999999995,0.0,0.266,0.237,0.0,0.434,0.555,77.01100000000001,spotify:track:1r9xUipOqoNwggBpENDsvJ,173381.0,4.0,8
Enemy (with JID) - from the series Arcane League of Legends,JID,0.728,0.7829999999999999,11.0,-4.4239999999999995,0.0,0.266,0.237,0.0,0.434,0.555,77.01100000000001,spotify:track:1r9xUipOqoNwggBpENDsvJ,173381.0,4.0,8
Enemy (with JID) - from the series Arcane League of Legends,Arcane,0.728,0.7829999999999999,11.0,-4.4239999999999995,0.0,0.266,0.237,0.0,0.434,0.555,77.01100000000001,spotify:track:1r9xUipOqoNwggBpENDsvJ,173381.0,4.0,8
Enemy (with JID) - from the series Arcane League of Legends,League of Legends,0.728,0.7829999999999999,11.0,-4.4239999999999995,0.0,0.266,0.237,0.0,0.434,0.555,77.01100000000001,spotify:track:1r9xUipOqoNwggBpENDsvJ,173381.0,4.0,8
